id,agencia,version,nombre
DF_TEL,CL01,1.0,Tasa de Entrada Laboral nacional
DF_TESTYMEDIOOCU_SEXO_CISE,CL01,1.0,"Ingreso medio nominal de la población ocupada nacional y regional, según sexo y categoría ocupacional"
DF_TIC_SEXO,CL01,1.0,Número de trabajadores involucrados en instrumentos colectivos y acuerdos de grupo negociador vigentes por sexo y región
DF_TLOF_SEXO,CL01,1.0,"Tasa de frecuencia de accidentes del trabajo fatales nacional y regional, según sexo"
DF_TMICI_EDAD,CL01,1.0,Tasa de personas microemprendedoras informales por edad
DF_TMICI_EDU,CL01,1.0,Tasa de personas microemprendedoras informales por nivel educativo
DF_TMICI_SEXO,CL01,1.0,"Tasa de personas microemprendedoras informales por sexo, nacional y regional"
DF_TNONO_SEXO,CL01,1.0,"Tasa de jóvenes que no estudian y no están ocupadas nacional, según sexo, año"
DF_TOBE_EDAD,CL01,1.0,"Tasa de ocupados que buscan empleo nacional y regional, según tramo etario"
DF_TOBE_SEXO,CL01,1.0,"Tasa de ocupados que buscan empleo nacional y regional, según sexo"
DF_TOCU_EDAD,CL01,1.0,"Tasa de ocupación nacional y regional, según tramo etario"
DF_TOCU_NACION_SEXO,CL01,1.0,"Tasa de ocupación extranjeros a nivel nacional, según sexo"
DF_TOCU_SEXO,CL01,1.0,"Tasa de ocupación nacional y regional, según sexo"
DF_TOIXAGR_CISE_SEXO,CL01,1.0,"Tasa de ocupación informal excluyendo al sector agropecuario nacional, según categoría ocupacional y sexo"
DF_TOIXAGR_CONUR,CL01,1.0,"Tasa de ocupación informal excluyendo al sector agropecuario nacional, según grandes conurbaciones"
DF_TOIXAGR_PROVINCIAS,CL01,1.0,"Tasa de ocupación informal excluyendo al sector agropecuario nacional, según provincias"
DF_TOIXAGR_RAMA_SEXO,CL01,1.0,"Tasa de ocupación informal excluyendo al sector agropecuario nacional, según rama de actividad económica de la empresa que le paga y sexo"
DF_TOIXAGR_SEXO,CL01,1.0,"Tasa de ocupación informal excluyendo al sector agropecuario nacional, según sexo"
DF_TOIXAGR_ZONA,CL01,1.0,"Tasa de ocupación informal excluyendo al sector agropecuario nacional, según zona urbana/rural"
DF_TOI_CISE_SEXO,CL01,1.0,"Tasa de ocupación informal nacional, según categoría ocupacional y sexo"
DF_TOI_CIUO_SEXO,CL01,1.0,"Tasa de ocupación informal nacional, según grupo ocupacional (CIUO-08.CL) y sexo"
DF_TOI_CONUR,CL01,1.0,"Tasa de ocupación informal nacional, según grandes conurbaciones"
DF_TOI_EDAD_SEXO,CL01,1.0,"Tasa de ocupación informal nacional, según tramo etario y sexo"
DF_TOI_LUGAR_SEXO,CL01,1.0,"Tasa de ocupación informal nacional, según lugar de trabajo y sexo"
DF_TOI_NACION_SEXO,CL01,1.0,"Tasa de ocupación informal extranjeros a nivel nacional, según sexo"
DF_TOI_NTRAB,CL01,1.0,"Tasa de ocupación informal nacional, según tamaño de empresa"
DF_TOI_PROVINCIAS,CL01,1.0,"Tasa de ocupación informal nacional, según provincias"
DF_TOI_RAMA_SEXO,CL01,1.0,"Tasa de ocupación informal nacional, según rama de actividad económica de la empresa que le paga y sexo"
DF_TOI_SEXO,CL01,1.0,"Tasa de ocupación informal nacional y regional, según sexo"
DF_TOI_ZONA,CL01,1.0,"Tasa de ocupación informal nacional, según zona urbana/rural"
DF_TOSI_CISE_SEXO,CL01,1.0,"Tasa de ocupación en el sector informal nacional, según categoría ocupacional"
DF_TOSI_SEXO,CL01,1.0,"Tasa de ocupación en el sector informal nacional y regional, según sexo"
DF_TPI_EDAD,CL01,1.0,"Tasa de tiempo parcial involuntario nacional, según tramo etario"
DF_TPI_SEXO,CL01,1.0,"Tasa de tiempo parcial involuntario nacional y regional, según sexo"
DF_TP_EDAD,CL01,1.0,"Tasa de participación nacional y regional, según tramo etario"
DF_TP_NACION_SEXO,CL01,1.0,"Tasa de participación extranjeros a nivel nacional, según sexo"
DF_TP_SEXO,CL01,1.0,"Tasa de participación nacional y regional, según sexo"
DF_TRL,CL01,1.0,Tasa de Rotación Laboral nacional
DF_TRLN,CL01,1.0,Tasa de Rotación Laboral Neta
DF_TSL,CL01,1.0,Tasa de Salida Laboral nacional
DF_TTIP_SEXO,CL01,1.0,Tasa de trabajo infantil peligroso por sexo
DF_TTI_SEXO,CL01,1.0,Tasa de trabajo infantil por sexo
DF_YHNDEP_SEXO_CISE,CL01,1.0,"Ingreso nominal por hora de la personas asalariadas nacional, según sexo"
DF_YHNDEP_SEXO_CIUO_CISE,CL01,1.0,"Ingreso nominal por hora de la personas asalariadas nacional, según sexo y grupo ocupacional (CIUO 08.CL)"
DF_YHNDEP_SEXO_EDU_CISE,CL01,1.0,"Ingreso nominal por hora de la personas asalariadas nacional, según sexo y nivel educativo"
DF_YHRDEP_SEXO_CISE,CL01,1.0,"Ingreso real por hora de las personas asalariadas nacional, según sexo"
DF_YHRDEP_SEXO_CIUO_CISE,CL01,1.0,"Ingreso real por hora de las personas asalariadas nacional, según sexo y grupo ocupacional (CIUO 08.CL)"
DF_YHRDEP_SEXO_EDU_CISE,CL01,1.0,"Ingreso real por hora de las personas asalariadas nacional, según sexo y nivel educativo"
DF_YMEDIANOOCU_SEXO,CL01,1.0,"Ingreso mediano nominal de la población ocupada nacional y regional, según sexo"
DF_YMEDIANOOCU_SEXO_CISE,CL01,1.0,"Ingreso mediano nominal de la población ocupada nacional y regional, según sexo y categoría ocupacional"
DF_YMEDIANOOCU_SEXO_CIUO,CL01,1.0,"Ingreso mediano nominal de la población ocupada nacional y regional, según sexo y grupo ocupacional (CIUO 08.CL)"
DF_YMEDIANOOCU_SEXO_EDAD,CL01,1.0,"Ingreso mediano nominal de la población ocupada nacional y regional, según sexo y tramo etario"
DF_YMEDIANOOCU_SEXO_EDU,CL01,1.0,"Ingreso mediano nominal de la población ocupada nacional y regional, según sexo y nivel educativo"
DF_YMEDIANOOCU_SEXO_RAMA,CL01,1.0,"Ingreso mediano nominal de la población ocupada nacional y regional, según sexo y rama de actividad económica"
DF_YMEDIANOOCU_SEXO_TRAMOHORA,CL01,1.0,"Ingreso mediano nominal de la población ocupada nacional y regional, según sexo y tramo de horas habitualmente trabajadas"
DF_YMEDIOOCU_SEXO,CL01,1.0,"Ingreso medio nominal de la población ocupada nacional y regional, según sexo"
DF_YMEDIOOCU_SEXO_CISE,CL01,1.0,"Ingreso medio nominal de la población ocupada nacional y regional, según sexo y categoría ocupacional"
DF_YMEDIOOCU_SEXO_CIUO,CL01,1.0,"Ingreso medio nominal de la población ocupada nacional y regional, según sexo y grupo ocupacional (CIUO 08.CL)"
DF_YMEDIOOCU_SEXO_EDAD,CL01,1.0,"Ingreso medio nominal de la población ocupada nacional y regional, según sexo y tramo etario"
DF_YMEDIOOCU_SEXO_EDU,CL01,1.0,"Ingreso medio nominal de la población ocupada nacional y regional, según sexo y nivel educacional"
DF_YMEDIOOCU_SEXO_RAMA,CL01,1.0,"Ingreso medio nominal de la población ocupada nacional y regional, según sexo y rama de actividad económica"
DF_YMEDIOOCU_SEXO_TRAMOHORA,CL01,1.0,"Ingreso medio nominal de la población ocupada nacional y regional, según sexo y tramo de horas habitualmente trabajadas"
DF_YRMEDIANOOCU_SEXO,CL01,1.0,"Ingreso mediano real de la población ocupada nacional y regional, según sexo"
DF_YRMEDIANOOCU_SEXO_CISE,CL01,1.0,"Ingreso mediano real de la población ocupada nacional y regional, según sexo y categoría ocupacional"
DF_YRMEDIANOOCU_SEXO_CIUO,CL01,1.0,"Ingreso mediano real de la población ocupada nacional y regional, según sexo y grupo ocupacional (CIUO 08.CL)"
DF_YRMEDIANOOCU_SEXO_EDAD,CL01,1.0,"Ingreso mediano real de la población ocupada nacional y regional, según sexo y tramo etario"
DF_YRMEDIANOOCU_SEXO_EDU,CL01,1.0,"Ingreso mediano real de la población ocupada nacional y regional, según sexo y nivel educativo"
DF_YRMEDIANOOCU_SEXO_RAMA,CL01,1.0,"Ingreso mediano real de la población ocupada nacional y regional, según sexo y rama de actividad económica"
DF_YRMEDIANOOCU_SEXO_TRAMOHORA,CL01,1.0,"Ingreso mediano real de la población ocupada nacional y regional, según sexo y tramo de horas habitualmente trabajadas"
DF_YRMEDIODEPCD_EDAD_CISE,CL01,1.0,"Ingreso medio real de las personas asalariadas con contrato definido nacional, según tramo etario"
DF_YRMEDIODEPCD_SEXO_CISE,CL01,1.0,"Ingreso medio real de las personas asalariadas con contrato definido nacional, según sexo"
DF_YRMEDIODEPCD_SEXO_EDU_CISE,CL01,1.0,"Ingreso medio real de las personas asalariadas con contrato definido nacional, según sexo y nivel educacional"
DF_YRMEDIODEPCD_SEXO_TDCON_CISE,CL01,1.0,"Ingreso medio real de las personas asalariadas con contrato definido nacional, según sexo y tipo de contrato definido"
DF_YRMEDIOOCU_SEXO,CL01,1.0,"Ingreso medio real de la población ocupada nacional y regional, según sexo"
